Date,Close
2025-01-21,4939000.0
2025-01-20,4923000.0
2025-01-19,4892000.0
2025-01-18,4929000.0
2025-01-17,5085000.0
2025-01-16,4858000.0
2025-01-15,5057000.0
2025-01-14,4791000.0
2025-01-13,4717000.0
2025-01-12,4909000.0
2025-01-11,4915000.0
2025-01-10,4915000.0
2025-01-09,4864000.0
2025-01-08,4985000.0
2025-01-07,5059000.0
2025-01-06,5413000.0
2025-01-05,5350000.0
2025-01-04,5382000.0
2025-01-03,5312000.0
2025-01-02,5132000.0
2025-01-01,5021000.0
2024-12-31,4978000.0
2024-12-30,4994000.0
2024-12-29,5004000.0
2024-12-28,5083000.0
2024-12-27,5019000.0
2024-12-26,5013000.0
2024-12-25,5207000.0
2024-12-24,5195000.0
2024-12-23,5154000.0
2024-12-22,4989000.0
2024-12-21,5078000.0
2024-12-20,5256000.0
2024-12-19,5170000.0
2024-12-18,5351000.0
2024-12-17,5701000.0
2024-12-16,5774000.0
2024-12-15,5651000.0
2024-12-14,5567000.0
2024-12-13,5567000.0
2024-12-12,5544000.0
2024-12-11,5423000.0
2024-12-10,5194000.0
2024-12-09,5300000.0
2024-12-08,5591000.0
2024-12-07,5562000.0
2024-12-06,5581000.0
2024-12-05,5364000.0
2024-12-04,5402000.0
2024-12-03,5051000.0
2024-12-02,5085000.0
2024-12-01,5105000.0
2024-11-30,5133000.0
2024-11-29,4966000.0
2024-11-28,4988000.0
2024-11-27,5070000.0
2024-11-26,4654000.0
2024-11-25,4759000.0
2024-11-24,4672000.0
2024-11-23,4727000.0
2024-11-22,4614000.0
2024-11-21,4685000.0
2024-11-20,4338000.0
2024-11-19,4372000.0
2024-11-18,4511000.0
2024-11-17,4329000.0
2024-11-16,4402000.0
2024-11-15,4359000.0
2024-11-14,4331000.0
2024-11-13,4524000.0
2024-11-12,4614000.0
2024-11-11,4725000.0
2024-11-10,4411000.0
2024-11-09,4332000.0
2024-11-08,4136000.0
2024-11-07,3981000.0
2024-11-06,3755000.0
2024-11-05,3364000.0
2024-11-04,3335000.0
2024-11-03,3426000.0
2024-11-02,3496000.0
2024-11-01,3516000.0
2024-10-31,3514000.0
2024-10-30,3695000.0
2024-10-29,3674000.0
2024-10-28,3579000.0
2024-10-27,3496000.0
2024-10-26,3475000.0
2024-10-25,3433000.0
2024-10-24,3500000.0
2024-10-23,3499000.0
2024-10-22,3612000.0
2024-10-21,3651000.0
2024-10-20,3738000.0
2024-10-19,3615000.0
2024-10-18,3601000.0
2024-10-17,3550000.0
2024-10-16,3541000.0
2024-10-15,3524000.0
2024-10-14,3528000.0
2024-10-13,3329000.0
2024-10-12,3330000.0
2024-10-11,3292000.0
2024-10-10,3246000.0
2024-10-09,3219000.0
2024-10-08,3305000.0
2024-10-07,3269000.0
2024-10-06,3282000.0
2024-10-05,3271000.0
2024-10-04,3261000.0
2024-10-03,3189000.0
2024-10-02,3188000.0
2024-10-01,3281000.0
2024-09-30,3440000.0
2024-09-29,3480000.0
2024-09-28,3519000.0
2024-09-27,3560000.0
2024-09-26,3478000.0
2024-09-25,3449000.0
2024-09-24,3519000.0
2024-09-23,3538000.0
2024-09-22,3451000.0
2024-09-21,3482000.0
2024-09-20,3423000.0
2024-09-19,3286000.0
2024-09-18,3179000.0
2024-09-17,3147000.0
2024-09-16,3094000.0
2024-09-15,3125000.0
2024-09-14,3244000.0
2024-09-13,3267000.0
2024-09-12,3179000.0
2024-09-11,3158000.0
2024-09-10,3232000.0
2024-09-09,3196000.0
2024-09-08,3118000.0
2024-09-07,3088000.0
2024-09-06,3039000.0
2024-09-05,3220000.0
2024-09-04,3323000.0
2024-09-03,3304000.0
2024-09-02,3442000.0
2024-09-01,3317000.0
2024-08-31,3419000.0
2024-08-30,3435000.0
2024-08-29,3437000.0
2024-08-28,3445000.0
2024-08-27,3346000.0
2024-08-26,3605000.0
2024-08-25,3689000.0
2024-08-24,3701000.0
2024-08-23,3690000.0
2024-08-22,3557000.0
2024-08-21,3564000.0
2024-08-20,3522000.0
2024-08-19,3620000.0
2024-08-18,3640000.0
2024-08-17,3638000.0
2024-08-16,3623000.0
2024-08-15,3616000.0
2024-08-14,3732000.0
2024-08-13,3774000.0
